1	0.271	0	0	0	0.615	0.5	0.044	1	1	0.015	0	0	0.101	0	1
0	0.713	0.159	0	0	0.769	0.875	0.107	1	1	0.09	0	0	0.022	0.006	1
0	0.171	0.018	0	0	0.769	0.875	0.053	1	0	0	0	0	0.14	0.008	1
1	0.223	0.055	0	0	0.615	0.5	0.132	1	1	0.075	1	0	0.05	0	1
1	0.102	0.201	0	0	0.615	0.5	0.06	1	0	0	0	1	0.06	0	1
1	0.291	0.143	0	0	0.462	0.5	0.088	1	0	0	1	0	0.18	0	1
1	0.308	0.037	0	0	0.846	0.875	0.228	1	0	0	1	0	0.082	0.313	1
1	0.646	0.018	0.5	0.5	0.231	0.875	0.139	1	0	0	0	0	0.09	0.003	1
1	0.456	0.176	0.5	0.5	0.615	0.5	0.111	1	0	0	1	0	0.026	0.014	1
1	0.132	0.03	0	0	0.538	0.875	0.076	0	0	0	1	0	0.064	0	1
1	0.257	0.066	0	0	0.538	0.875	0.152	1	0	0	0	0	0.13	0.002	1
0	0.389	0.214	0	0	0.231	0.5	0.035	1	0	0	1	0	0	0	1
0	0.509	0.375	0	0	0.769	0.5	0.175	1	1	0.104	1	0	0	0	1
1	0.23	0.031	0	0	0.462	0.5	0.034	1	1	0.045	1	0	0.198	0	1
0	0.151	0.21	0	0	0.769	0.5	0.111	1	1	0.149	0	0	0.06	0.002	1
1	0.128	0.009	0	0	0.077	0.875	0.023	1	0	0	1	0	0	0	1
1	0.179	0.402	0	0	0.538	0.5	0.088	1	1	0.254	0	0	0.1	0.012	1
1	0.151	0.036	0	0	0.538	0.5	0.029	1	0	0	0	1	0.15	0	1
0	0.54	0.286	0	0	0.538	0.5	0.276	1	1	0.09	1	0	0	0.013	1
0	0.217	0.518	0	0	1	0.875	0.108	1	1	0.015	0	0	0.06	0	1
0	0.435	0.232	0	0	0.769	0.5	0.018	1	1	0.045	1	0	0.073	0	1
0	0.033	0.021	0	0	0.538	0.875	0.053	1	1	0.03	0	0	0.05	0	1
0	0.528	0.464	0	0	0.308	0.375	0.181	1	1	0.134	1	0	0	0	1
1	0.68	0.661	0	0	0.077	0.375	0.526	1	1	0.254	1	0	0	0	1
1	0.693	0.304	0	0	0.692	0.875	0.246	1	1	0.045	0	0	0	0	1
1	0.45	0.037	0	0	0.615	0.5	0.175	1	1	0.09	1	0	0.25	0.1	1
1	0.246	0.528	0	0	0.385	0.5	0.177	1	1	0.075	1	0	0.084	0	1
1	0.448	0.35	0	0	1	0.875	0.279	1	1	0.119	0	0	0	0	1
1	0.567	0.271	0	0	0.308	0.375	0.266	1	1	0.224	1	0	0	0.05	1
0	0.365	0.183	0	0	0.692	0.5	0.175	1	0	0	1	0	0	0.04	1
0	0.14	0.384	0	0	0.769	0.5	0.015	1	1	0.075	1	0	0	0.006	1
1	0.223	0.054	0	0	0.615	0.5	0.07	1	1	0.164	1	0	0.217	0	1
1	0.214	0.057	0	0	0.923	0.875	0.064	1	1	0.179	1	0	0.292	0.007	1
